#ndep: 2897
#depth (km)    Vs_arithmetic (km/s)    Vs_geometric (km/s)
   145.0           4.4409E+00              4.4392E+00
   146.0           4.4414E+00              4.4397E+00
   147.0           4.4419E+00              4.4402E+00
   148.0           4.4424E+00              4.4408E+00
   149.0           4.4430E+00              4.4413E+00
   150.0           4.4435E+00              4.4419E+00
   151.0           4.4441E+00              4.4425E+00
   152.0           4.4447E+00              4.4431E+00
   153.0           4.4453E+00              4.4437E+00
   154.0           4.4459E+00              4.4444E+00
   155.0           4.4466E+00              4.4450E+00
   156.0           4.4472E+00              4.4457E+00
   157.0           4.4479E+00              4.4464E+00
   158.0           4.4486E+00              4.4471E+00
   159.0           4.4493E+00              4.4478E+00
   160.0           4.4500E+00              4.4485E+00
   161.0           4.4508E+00              4.4493E+00
   162.0           4.4515E+00              4.4501E+00
   163.0           4.4523E+00              4.4508E+00
   164.0           4.4531E+00              4.4516E+00
   165.0           4.4539E+00              4.4524E+00
   166.0           4.4547E+00              4.4533E+00
   167.0           4.4555E+00              4.4541E+00
   168.0           4.4564E+00              4.4550E+00
   169.0           4.4572E+00              4.4558E+00
   170.0           4.4581E+00              4.4567E+00
   171.0           4.4590E+00              4.4576E+00
   172.0           4.4599E+00              4.4585E+00
   173.0           4.4608E+00              4.4594E+00
   174.0           4.4617E+00              4.4604E+00
   175.0           4.4626E+00              4.4613E+00
   176.0           4.4636E+00              4.4623E+00
   177.0           4.4645E+00              4.4633E+00
   178.0           4.4655E+00              4.4643E+00
   179.0           4.4665E+00              4.4653E+00
   180.0           4.4675E+00              4.4663E+00
   181.0           4.4685E+00              4.4673E+00
   182.0           4.4696E+00              4.4684E+00
   183.0           4.4706E+00              4.4694E+00
   184.0           4.4717E+00              4.4705E+00
   185.0           4.4727E+00              4.4716E+00
   186.0           4.4738E+00              4.4727E+00
   187.0           4.4749E+00              4.4738E+00
   188.0           4.4760E+00              4.4749E+00
   189.0           4.4771E+00              4.4760E+00
   190.0           4.4782E+00              4.4771E+00
   191.0           4.4794E+00              4.4783E+00
   192.0           4.4805E+00              4.4795E+00
   193.0           4.4817E+00              4.4806E+00
   194.0           4.4829E+00              4.4818E+00
   195.0           4.4840E+00              4.4830E+00
   196.0           4.4852E+00              4.4842E+00
   197.0           4.4864E+00              4.4855E+00
   198.0           4.4877E+00              4.4867E+00
   199.0           4.4889E+00              4.4879E+00
   200.0           4.4901E+00              4.4892E+00
   201.0           4.4914E+00              4.4905E+00
   202.0           4.4926E+00              4.4917E+00
   203.0           4.4939E+00              4.4930E+00
   204.0           4.4952E+00              4.4943E+00
   205.0           4.4965E+00              4.4956E+00
   206.0           4.4978E+00              4.4969E+00
   207.0           4.4991E+00              4.4983E+00
   208.0           4.5004E+00              4.4996E+00
   209.0           4.5018E+00              4.5010E+00
   210.0           4.5031E+00              4.5023E+00
   211.0           4.5045E+00              4.5037E+00
   212.0           4.5059E+00              4.5051E+00
   213.0           4.5072E+00              4.5065E+00
   214.0           4.5086E+00              4.5079E+00
   215.0           4.5100E+00              4.5093E+00
   216.0           4.5114E+00              4.5107E+00
   217.0           4.5128E+00              4.5121E+00
   218.0           4.5143E+00              4.5135E+00
   219.0           4.5157E+00              4.5150E+00
   220.0           4.5171E+00              4.5165E+00
   221.0           4.5186E+00              4.5179E+00
   222.0           4.5201E+00              4.5194E+00
   223.0           4.5215E+00              4.5209E+00
   224.0           4.5230E+00              4.5224E+00
   225.0           4.5245E+00              4.5239E+00
   226.0           4.5260E+00              4.5254E+00
   227.0           4.5275E+00              4.5269E+00
   228.0           4.5290E+00              4.5284E+00
   229.0           4.5306E+00              4.5300E+00
   230.0           4.5321E+00              4.5315E+00
   231.0           4.5336E+00              4.5331E+00
   232.0           4.5352E+00              4.5346E+00
   233.0           4.5368E+00              4.5362E+00
   234.0           4.5383E+00              4.5378E+00
   235.0           4.5399E+00              4.5394E+00
   236.0           4.5415E+00              4.5410E+00
   237.0           4.5431E+00              4.5426E+00
   238.0           4.5447E+00              4.5442E+00
   239.0           4.5463E+00              4.5458E+00
   240.0           4.5479E+00              4.5474E+00
   241.0           4.5495E+00              4.5490E+00
   242.0           4.5512E+00              4.5507E+00
   243.0           4.5528E+00              4.5523E+00
   244.0           4.5544E+00              4.5540E+00
   245.0           4.5561E+00              4.5556E+00
   246.0           4.5578E+00              4.5573E+00
   247.0           4.5594E+00              4.5590E+00
   248.0           4.5611E+00              4.5607E+00
   249.0           4.5628E+00              4.5624E+00
   250.0           4.5645E+00              4.5641E+00
   251.0           4.5662E+00              4.5658E+00
   252.0           4.5679E+00              4.5675E+00
   253.0           4.5696E+00              4.5692E+00
   254.0           4.5713E+00              4.5709E+00
   255.0           4.5730E+00              4.5726E+00
   256.0           4.5748E+00              4.5744E+00
   257.0           4.5765E+00              4.5761E+00
   258.0           4.5782E+00              4.5779E+00
   259.0           4.5800E+00              4.5796E+00
   260.0           4.5817E+00              4.5814E+00
   261.0           4.5835E+00              4.5831E+00
   262.0           4.5853E+00              4.5849E+00
   263.0           4.5870E+00              4.5867E+00
   264.0           4.5888E+00              4.5885E+00
   265.0           4.5906E+00              4.5903E+00
   266.0           4.5924E+00              4.5921E+00
   267.0           4.5942E+00              4.5939E+00
   268.0           4.5960E+00              4.5957E+00
   269.0           4.5978E+00              4.5975E+00
   270.0           4.5996E+00              4.5993E+00
   271.0           4.6014E+00              4.6011E+00
   272.0           4.6032E+00              4.6029E+00
   273.0           4.6051E+00              4.6048E+00
   274.0           4.6069E+00              4.6066E+00
   275.0           4.6087E+00              4.6084E+00
   276.0           4.6106E+00              4.6103E+00
   277.0           4.6124E+00              4.6121E+00
   278.0           4.6143E+00              4.6140E+00
   279.0           4.6161E+00              4.6159E+00
   280.0           4.6180E+00              4.6177E+00
   281.0           4.6198E+00              4.6196E+00
   282.0           4.6217E+00              4.6215E+00
   283.0           4.6236E+00              4.6233E+00
   284.0           4.6255E+00              4.6252E+00
   285.0           4.6273E+00              4.6271E+00
   286.0           4.6292E+00              4.6290E+00
   287.0           4.6311E+00              4.6309E+00
   288.0           4.6330E+00              4.6328E+00
   289.0           4.6349E+00              4.6347E+00
   290.0           4.6368E+00              4.6366E+00
   291.0           4.6387E+00              4.6385E+00
   292.0           4.6406E+00              4.6404E+00
   293.0           4.6425E+00              4.6423E+00
   294.0           4.6444E+00              4.6442E+00
   295.0           4.6464E+00              4.6461E+00
   296.0           4.6483E+00              4.6480E+00
