#ndep: 2897
#depth (km)    Vs_arithmetic (km/s)    Vs_geometric (km/s)
   646.0           5.5317E+00              5.5315E+00
   647.0           5.5340E+00              5.5338E+00
   648.0           5.5362E+00              5.5360E+00
   649.0           5.5385E+00              5.5383E+00
   650.0           5.5408E+00              5.5406E+00
   651.0           5.9094E+00              5.9093E+00
   652.0           5.9120E+00              5.9119E+00
   653.0           5.9146E+00              5.9145E+00
   654.0           5.9172E+00              5.9171E+00
   655.0           5.9199E+00              5.9198E+00
   656.0           5.9226E+00              5.9225E+00
   657.0           5.9252E+00              5.9251E+00
   658.0           5.9280E+00              5.9279E+00
   659.0           5.9307E+00              5.9306E+00
   660.0           5.9334E+00              5.9333E+00
   661.0           5.9361E+00              5.9360E+00
   662.0           5.9388E+00              5.9387E+00
   663.0           5.9416E+00              5.9415E+00
   664.0           5.9444E+00              5.9443E+00
   665.0           5.9472E+00              5.9471E+00
   666.0           5.9500E+00              5.9499E+00
   667.0           5.9528E+00              5.9527E+00
   668.0           5.9556E+00              5.9555E+00
   669.0           5.9584E+00              5.9583E+00
   670.0           5.9612E+00              5.9611E+00
   671.0           5.9641E+00              5.9640E+00
   672.0           5.9669E+00              5.9668E+00
   673.0           5.9697E+00              5.9696E+00
   674.0           5.9726E+00              5.9725E+00
   675.0           5.9754E+00              5.9753E+00
   676.0           5.9783E+00              5.9782E+00
   677.0           5.9812E+00              5.9811E+00
   678.0           5.9841E+00              5.9840E+00
   679.0           5.9870E+00              5.9869E+00
   680.0           5.9899E+00              5.9898E+00
   681.0           5.9927E+00              5.9926E+00
   682.0           5.9957E+00              5.9956E+00
   683.0           5.9985E+00              5.9984E+00
   684.0           6.0014E+00              6.0013E+00
   685.0           6.0044E+00              6.0043E+00
   686.0           6.0072E+00              6.0071E+00
   687.0           6.0102E+00              6.0101E+00
   688.0           6.0131E+00              6.0130E+00
   689.0           6.0159E+00              6.0158E+00
   690.0           6.0189E+00              6.0188E+00
   691.0           6.0217E+00              6.0216E+00
   692.0           6.0247E+00              6.0246E+00
   693.0           6.0276E+00              6.0275E+00
   694.0           6.0304E+00              6.0303E+00
   695.0           6.0334E+00              6.0333E+00
   696.0           6.0363E+00              6.0362E+00
   697.0           6.0391E+00              6.0390E+00
   698.0           6.0420E+00              6.0419E+00
   699.0           6.0449E+00              6.0448E+00
   700.0           6.0478E+00              6.0477E+00
   701.0           6.0506E+00              6.0505E+00
   702.0           6.0535E+00              6.0534E+00
   703.0           6.0563E+00              6.0562E+00
   704.0           6.0592E+00              6.0591E+00
   705.0           6.0620E+00              6.0619E+00
   706.0           6.0649E+00              6.0648E+00
   707.0           6.0677E+00              6.0676E+00
   708.0           6.0705E+00              6.0704E+00
   709.0           6.0733E+00              6.0732E+00
   710.0           6.0761E+00              6.0760E+00
   711.0           6.0789E+00              6.0788E+00
   712.0           6.0816E+00              6.0816E+00
   713.0           6.0844E+00              6.0843E+00
   714.0           6.0872E+00              6.0871E+00
   715.0           6.0899E+00              6.0898E+00
   716.0           6.0927E+00              6.0926E+00
   717.0           6.0954E+00              6.0953E+00
   718.0           6.0981E+00              6.0980E+00
   719.0           6.1008E+00              6.1007E+00
   720.0           6.1035E+00              6.1034E+00
   721.0           6.1061E+00              6.1060E+00
   722.0           6.1088E+00              6.1087E+00
   723.0           6.1114E+00              6.1113E+00
   724.0           6.1141E+00              6.1140E+00
   725.0           6.1167E+00              6.1166E+00
   726.0           6.1192E+00              6.1191E+00
   727.0           6.1218E+00              6.1217E+00
   728.0           6.1243E+00              6.1242E+00
   729.0           6.1269E+00              6.1268E+00
   730.0           6.1294E+00              6.1293E+00
   731.0           6.1319E+00              6.1318E+00
   732.0           6.1344E+00              6.1343E+00
   733.0           6.1369E+00              6.1368E+00
   734.0           6.1393E+00              6.1392E+00
   735.0           6.1417E+00              6.1416E+00
   736.0           6.1441E+00              6.1440E+00
   737.0           6.1465E+00              6.1464E+00
   738.0           6.1488E+00              6.1488E+00
   739.0           6.1511E+00              6.1511E+00
   740.0           6.1535E+00              6.1534E+00
   741.0           6.1557E+00              6.1556E+00
   742.0           6.1580E+00              6.1579E+00
   743.0           6.1603E+00              6.1602E+00
   744.0           6.1624E+00              6.1624E+00
   745.0           6.1647E+00              6.1646E+00
   746.0           6.1668E+00              6.1667E+00
   747.0           6.1689E+00              6.1689E+00
   748.0           6.1711E+00              6.1710E+00
   749.0           6.1731E+00              6.1730E+00
   750.0           6.1752E+00              6.1751E+00
   751.0           6.1772E+00              6.1772E+00
   752.0           6.1792E+00              6.1791E+00
   753.0           6.1812E+00              6.1811E+00
   754.0           6.1832E+00              6.1831E+00
   755.0           6.1850E+00              6.1850E+00
   756.0           6.1869E+00              6.1869E+00
   757.0           6.1888E+00              6.1887E+00
   758.0           6.1906E+00              6.1906E+00
   759.0           6.1925E+00              6.1924E+00
   760.0           6.1942E+00              6.1941E+00
   761.0           6.1960E+00              6.1959E+00
   762.0           6.1977E+00              6.1976E+00
   763.0           6.1994E+00              6.1993E+00
   764.0           6.2011E+00              6.2010E+00
   765.0           6.2027E+00              6.2026E+00
   766.0           6.2044E+00              6.2043E+00
   767.0           6.2060E+00              6.2059E+00
   768.0           6.2075E+00              6.2075E+00
   769.0           6.2091E+00              6.2090E+00
   770.0           6.2106E+00              6.2106E+00
   771.0           6.2122E+00              6.2121E+00
   772.0           6.2137E+00              6.2136E+00
   773.0           6.2151E+00              6.2150E+00
   774.0           6.2166E+00              6.2165E+00
   775.0           6.2180E+00              6.2179E+00
   776.0           6.2194E+00              6.2193E+00
   777.0           6.2208E+00              6.2207E+00
   778.0           6.2221E+00              6.2220E+00
   779.0           6.2235E+00              6.2234E+00
   780.0           6.2248E+00              6.2247E+00
   781.0           6.2261E+00              6.2260E+00
   782.0           6.2274E+00              6.2273E+00
   783.0           6.2286E+00              6.2285E+00
   784.0           6.2298E+00              6.2298E+00
   785.0           6.2311E+00              6.2310E+00
   786.0           6.2323E+00              6.2322E+00
   787.0           6.2335E+00              6.2334E+00
   788.0           6.2346E+00              6.2346E+00
   789.0           6.2358E+00              6.2357E+00
   790.0           6.2369E+00              6.2368E+00
   791.0           6.2380E+00              6.2380E+00
   792.0           6.2391E+00              6.2390E+00
   793.0           6.2402E+00              6.2401E+00
   794.0           6.2413E+00              6.2412E+00
   795.0           6.2423E+00              6.2422E+00
   796.0           6.2434E+00              6.2433E+00
   797.0           6.2444E+00              6.2443E+00
   798.0           6.2454E+00              6.2453E+00
   799.0           6.2464E+00              6.2463E+00
   800.0           6.2473E+00              6.2473E+00
   801.0           6.2483E+00              6.2482E+00
   802.0           6.2492E+00              6.2492E+00
   803.0           6.2502E+00              6.2501E+00
   804.0           6.2511E+00              6.2510E+00
   805.0           6.2520E+00              6.2519E+00
   806.0           6.2529E+00              6.2529E+00
   807.0           6.2538E+00              6.2537E+00
   808.0           6.2547E+00              6.2546E+00
   809.0           6.2556E+00              6.2555E+00
   810.0           6.2564E+00              6.2563E+00
   811.0           6.2572E+00              6.2572E+00
   812.0           6.2581E+00              6.2580E+00
   813.0           6.2589E+00              6.2588E+00
   814.0           6.2597E+00              6.2596E+00
   815.0           6.2605E+00              6.2604E+00
   816.0           6.2613E+00              6.2612E+00
   817.0           6.2621E+00              6.2620E+00
   818.0           6.2628E+00              6.2628E+00
   819.0           6.2636E+00              6.2635E+00
   820.0           6.2644E+00              6.2643E+00
   821.0           6.2651E+00              6.2650E+00
   822.0           6.2659E+00              6.2658E+00
   823.0           6.2666E+00              6.2665E+00
   824.0           6.2673E+00              6.2672E+00
   825.0           6.2680E+00              6.2680E+00
   826.0           6.2687E+00              6.2687E+00
   827.0           6.2695E+00              6.2694E+00
   828.0           6.2701E+00              6.2701E+00
   829.0           6.2708E+00              6.2708E+00
   830.0           6.2715E+00              6.2715E+00
   831.0           6.2722E+00              6.2722E+00
   832.0           6.2729E+00              6.2728E+00
   833.0           6.2736E+00              6.2735E+00
   834.0           6.2743E+00              6.2742E+00
   835.0           6.2749E+00              6.2749E+00
   836.0           6.2756E+00              6.2755E+00
   837.0           6.2763E+00              6.2762E+00
   838.0           6.2769E+00              6.2769E+00
   839.0           6.2776E+00              6.2775E+00
   840.0           6.2782E+00              6.2782E+00
   841.0           6.2789E+00              6.2788E+00
   842.0           6.2796E+00              6.2795E+00
   843.0           6.2802E+00              6.2801E+00
   844.0           6.2809E+00              6.2808E+00
   845.0           6.2815E+00              6.2814E+00
   846.0           6.2822E+00              6.2821E+00
   847.0           6.2828E+00              6.2827E+00
   848.0           6.2835E+00              6.2834E+00
   849.0           6.2841E+00              6.2841E+00
   850.0           6.2848E+00              6.2847E+00
   851.0           6.2854E+00              6.2854E+00
   852.0           6.2861E+00              6.2860E+00
   853.0           6.2867E+00              6.2867E+00
   854.0           6.2874E+00              6.2873E+00
   855.0           6.2880E+00              6.2880E+00
   856.0           6.2887E+00              6.2886E+00
   857.0           6.2893E+00              6.2893E+00
   858.0           6.2900E+00              6.2899E+00
   859.0           6.2907E+00              6.2906E+00
   860.0           6.2913E+00              6.2912E+00
   861.0           6.2920E+00              6.2919E+00
   862.0           6.2926E+00              6.2926E+00
   863.0           6.2933E+00              6.2932E+00
   864.0           6.2940E+00              6.2939E+00
   865.0           6.2946E+00              6.2945E+00
   866.0           6.2953E+00              6.2952E+00
   867.0           6.2959E+00              6.2959E+00
   868.0           6.2966E+00              6.2965E+00
   869.0           6.2973E+00              6.2972E+00
   870.0           6.2979E+00              6.2978E+00
   871.0           6.2986E+00              6.2985E+00
   872.0           6.2992E+00              6.2992E+00
   873.0           6.2999E+00              6.2998E+00
   874.0           6.3006E+00              6.3005E+00
   875.0           6.3012E+00              6.3012E+00
   876.0           6.3019E+00              6.3018E+00
   877.0           6.3025E+00              6.3025E+00
   878.0           6.3032E+00              6.3031E+00
   879.0           6.3039E+00              6.3038E+00
   880.0           6.3045E+00              6.3045E+00
   881.0           6.3052E+00              6.3051E+00
   882.0           6.3059E+00              6.3058E+00
   883.0           6.3065E+00              6.3065E+00
   884.0           6.3072E+00              6.3071E+00
   885.0           6.3079E+00              6.3078E+00
   886.0           6.3085E+00              6.3084E+00
   887.0           6.3092E+00              6.3091E+00
   888.0           6.3099E+00              6.3098E+00
   889.0           6.3105E+00              6.3104E+00
   890.0           6.3112E+00              6.3111E+00
   891.0           6.3119E+00              6.3118E+00
   892.0           6.3125E+00              6.3124E+00
   893.0           6.3132E+00              6.3131E+00
   894.0           6.3138E+00              6.3138E+00
   895.0           6.3145E+00              6.3144E+00
   896.0           6.3152E+00              6.3151E+00
   897.0           6.3158E+00              6.3158E+00
   898.0           6.3165E+00              6.3164E+00
   899.0           6.3172E+00              6.3171E+00
   900.0           6.3178E+00              6.3178E+00
   901.0           6.3185E+00              6.3185E+00
   902.0           6.3192E+00              6.3191E+00
   903.0           6.3199E+00              6.3198E+00
   904.0           6.3205E+00              6.3205E+00
   905.0           6.3212E+00              6.3211E+00
   906.0           6.3219E+00              6.3218E+00
   907.0           6.3225E+00              6.3225E+00
   908.0           6.3232E+00              6.3231E+00
   909.0           6.3239E+00              6.3238E+00
   910.0           6.3245E+00              6.3245E+00
   911.0           6.3252E+00              6.3251E+00
   912.0           6.3259E+00              6.3258E+00
   913.0           6.3265E+00              6.3265E+00
   914.0           6.3272E+00              6.3271E+00
   915.0           6.3279E+00              6.3278E+00
   916.0           6.3285E+00              6.3285E+00
   917.0           6.3292E+00              6.3291E+00
   918.0           6.3299E+00              6.3298E+00
   919.0           6.3305E+00              6.3305E+00
   920.0           6.3312E+00              6.3312E+00
   921.0           6.3319E+00              6.3318E+00
   922.0           6.3326E+00              6.3325E+00
   923.0           6.3332E+00              6.3332E+00
   924.0           6.3339E+00              6.3338E+00
   925.0           6.3346E+00              6.3345E+00
   926.0           6.3352E+00              6.3352E+00
   927.0           6.3359E+00              6.3358E+00
   928.0           6.3366E+00              6.3365E+00
   929.0           6.3372E+00              6.3372E+00
   930.0           6.3379E+00              6.3378E+00
   931.0           6.3386E+00              6.3385E+00
   932.0           6.3392E+00              6.3392E+00
   933.0           6.3399E+00              6.3399E+00
   934.0           6.3406E+00              6.3405E+00
   935.0           6.3412E+00              6.3412E+00
   936.0           6.3419E+00              6.3419E+00
   937.0           6.3426E+00              6.3425E+00
   938.0           6.3433E+00              6.3432E+00
   939.0           6.3439E+00              6.3438E+00
   940.0           6.3446E+00              6.3445E+00
   941.0           6.3453E+00              6.3452E+00
   942.0           6.3459E+00              6.3459E+00
   943.0           6.3466E+00              6.3465E+00
   944.0           6.3473E+00              6.3472E+00
   945.0           6.3479E+00              6.3479E+00
   946.0           6.3486E+00              6.3485E+00
   947.0           6.3493E+00              6.3492E+00
   948.0           6.3499E+00              6.3499E+00
   949.0           6.3506E+00              6.3505E+00
   950.0           6.3513E+00              6.3512E+00
   951.0           6.3519E+00              6.3519E+00
   952.0           6.3526E+00              6.3525E+00
   953.0           6.3533E+00              6.3532E+00
   954.0           6.3539E+00              6.3539E+00
   955.0           6.3546E+00              6.3545E+00
   956.0           6.3553E+00              6.3552E+00
   957.0           6.3559E+00              6.3559E+00
   958.0           6.3566E+00              6.3565E+00
   959.0           6.3572E+00              6.3572E+00
   960.0           6.3579E+00              6.3578E+00
   961.0           6.3586E+00              6.3585E+00
   962.0           6.3592E+00              6.3592E+00
   963.0           6.3599E+00              6.3598E+00
   964.0           6.3606E+00              6.3605E+00
   965.0           6.3612E+00              6.3612E+00
   966.0           6.3619E+00              6.3618E+00
   967.0           6.3626E+00              6.3625E+00
   968.0           6.3632E+00              6.3631E+00
   969.0           6.3639E+00              6.3638E+00
   970.0           6.3645E+00              6.3645E+00
   971.0           6.3652E+00              6.3651E+00
   972.0           6.3659E+00              6.3658E+00
   973.0           6.3665E+00              6.3665E+00
   974.0           6.3672E+00              6.3671E+00
   975.0           6.3678E+00              6.3678E+00
   976.0           6.3685E+00              6.3684E+00
   977.0           6.3692E+00              6.3691E+00
   978.0           6.3698E+00              6.3698E+00
   979.0           6.3705E+00              6.3704E+00
   980.0           6.3711E+00              6.3711E+00
   981.0           6.3718E+00              6.3717E+00
   982.0           6.3724E+00              6.3724E+00
   983.0           6.3731E+00              6.3730E+00
   984.0           6.3738E+00              6.3737E+00
   985.0           6.3744E+00              6.3744E+00
   986.0           6.3751E+00              6.3750E+00
   987.0           6.3757E+00              6.3757E+00
   988.0           6.3764E+00              6.3763E+00
   989.0           6.3770E+00              6.3770E+00
   990.0           6.3777E+00              6.3776E+00
   991.0           6.3784E+00              6.3783E+00
   992.0           6.3790E+00              6.3789E+00
   993.0           6.3797E+00              6.3796E+00
   994.0           6.3803E+00              6.3803E+00
   995.0           6.3810E+00              6.3809E+00
   996.0           6.3816E+00              6.3816E+00
   997.0           6.3823E+00              6.3822E+00
   998.0           6.3829E+00              6.3829E+00
   999.0           6.3836E+00              6.3835E+00
  1000.0           6.3842E+00              6.3842E+00
  1001.0           6.3849E+00              6.3848E+00
  1002.0           6.3855E+00              6.3855E+00
  1003.0           6.3862E+00              6.3861E+00
  1004.0           6.3868E+00              6.3868E+00
  1005.0           6.3875E+00              6.3874E+00
  1006.0           6.3881E+00              6.3881E+00
  1007.0           6.3888E+00              6.3887E+00
  1008.0           6.3894E+00              6.3894E+00
  1009.0           6.3901E+00              6.3900E+00
  1010.0           6.3907E+00              6.3907E+00
  1011.0           6.3914E+00              6.3913E+00
  1012.0           6.3920E+00              6.3920E+00
  1013.0           6.3927E+00              6.3926E+00
  1014.0           6.3933E+00              6.3933E+00
  1015.0           6.3940E+00              6.3939E+00
  1016.0           6.3946E+00              6.3946E+00
  1017.0           6.3953E+00              6.3952E+00
  1018.0           6.3959E+00              6.3959E+00
  1019.0           6.3966E+00              6.3965E+00
  1020.0           6.3972E+00              6.3972E+00
  1021.0           6.3979E+00              6.3978E+00
  1022.0           6.3985E+00              6.3984E+00
  1023.0           6.3992E+00              6.3991E+00
  1024.0           6.3998E+00              6.3997E+00
  1025.0           6.4004E+00              6.4004E+00
  1026.0           6.4011E+00              6.4010E+00
  1027.0           6.4017E+00              6.4017E+00
  1028.0           6.4024E+00              6.4023E+00
  1029.0           6.4030E+00              6.4030E+00
  1030.0           6.4037E+00              6.4036E+00
  1031.0           6.4043E+00              6.4043E+00
  1032.0           6.4049E+00              6.4049E+00
  1033.0           6.4056E+00              6.4055E+00
  1034.0           6.4062E+00              6.4062E+00
  1035.0           6.4069E+00              6.4068E+00
  1036.0           6.4075E+00              6.4075E+00
  1037.0           6.4082E+00              6.4081E+00
  1038.0           6.4088E+00              6.4087E+00
  1039.0           6.4094E+00              6.4094E+00
  1040.0           6.4101E+00              6.4100E+00
  1041.0           6.4107E+00              6.4107E+00
  1042.0           6.4114E+00              6.4113E+00
  1043.0           6.4120E+00              6.4119E+00
  1044.0           6.4127E+00              6.4126E+00
  1045.0           6.4133E+00              6.4132E+00
  1046.0           6.4139E+00              6.4139E+00
  1047.0           6.4146E+00              6.4145E+00
  1048.0           6.4152E+00              6.4151E+00
  1049.0           6.4158E+00              6.4158E+00
  1050.0           6.4165E+00              6.4164E+00
  1051.0           6.4171E+00              6.4171E+00
  1052.0           6.4178E+00              6.4177E+00
  1053.0           6.4184E+00              6.4183E+00
  1054.0           6.4190E+00              6.4190E+00
  1055.0           6.4197E+00              6.4196E+00
  1056.0           6.4203E+00              6.4202E+00
  1057.0           6.4209E+00              6.4209E+00
  1058.0           6.4216E+00              6.4215E+00
  1059.0           6.4222E+00              6.4222E+00
  1060.0           6.4229E+00              6.4228E+00
  1061.0           6.4235E+00              6.4234E+00
  1062.0           6.4241E+00              6.4241E+00
  1063.0           6.4247E+00              6.4247E+00
  1064.0           6.4254E+00              6.4253E+00
  1065.0           6.4260E+00              6.4260E+00
  1066.0           6.4266E+00              6.4266E+00
  1067.0           6.4273E+00              6.4272E+00
  1068.0           6.4279E+00              6.4279E+00
  1069.0           6.4285E+00              6.4285E+00
  1070.0           6.4292E+00              6.4291E+00
  1071.0           6.4298E+00              6.4298E+00
  1072.0           6.4304E+00              6.4304E+00
  1073.0           6.4311E+00              6.4310E+00
  1074.0           6.4317E+00              6.4317E+00
  1075.0           6.4323E+00              6.4323E+00
  1076.0           6.4330E+00              6.4329E+00
  1077.0           6.4336E+00              6.4335E+00
  1078.0           6.4342E+00              6.4342E+00
  1079.0           6.4349E+00              6.4348E+00
  1080.0           6.4355E+00              6.4354E+00
  1081.0           6.4361E+00              6.4361E+00
  1082.0           6.4368E+00              6.4367E+00
  1083.0           6.4374E+00              6.4373E+00
  1084.0           6.4380E+00              6.4380E+00
  1085.0           6.4386E+00              6.4386E+00
  1086.0           6.4393E+00              6.4392E+00
  1087.0           6.4399E+00              6.4398E+00
  1088.0           6.4405E+00              6.4405E+00
  1089.0           6.4412E+00              6.4411E+00
  1090.0           6.4418E+00              6.4417E+00
  1091.0           6.4424E+00              6.4424E+00
  1092.0           6.4430E+00              6.4430E+00
  1093.0           6.4437E+00              6.4436E+00
  1094.0           6.4443E+00              6.4442E+00
  1095.0           6.4449E+00              6.4449E+00
  1096.0           6.4455E+00              6.4455E+00
  1097.0           6.4462E+00              6.4461E+00
  1098.0           6.4468E+00              6.4467E+00
  1099.0           6.4474E+00              6.4474E+00
  1100.0           6.4480E+00              6.4480E+00
  1101.0           6.4487E+00              6.4486E+00
  1102.0           6.4493E+00              6.4492E+00
  1103.0           6.4499E+00              6.4499E+00
  1104.0           6.4505E+00              6.4505E+00
  1105.0           6.4512E+00              6.4511E+00
  1106.0           6.4518E+00              6.4517E+00
  1107.0           6.4524E+00              6.4524E+00
  1108.0           6.4530E+00              6.4530E+00
  1109.0           6.4537E+00              6.4536E+00
  1110.0           6.4543E+00              6.4542E+00
  1111.0           6.4549E+00              6.4548E+00
  1112.0           6.4555E+00              6.4555E+00
  1113.0           6.4561E+00              6.4561E+00
  1114.0           6.4568E+00              6.4567E+00
  1115.0           6.4574E+00              6.4573E+00
  1116.0           6.4580E+00              6.4579E+00
  1117.0           6.4586E+00              6.4586E+00
  1118.0           6.4593E+00              6.4592E+00
  1119.0           6.4599E+00              6.4598E+00
  1120.0           6.4605E+00              6.4604E+00
  1121.0           6.4611E+00              6.4610E+00
  1122.0           6.4617E+00              6.4617E+00
  1123.0           6.4623E+00              6.4623E+00
  1124.0           6.4630E+00              6.4629E+00
  1125.0           6.4636E+00              6.4635E+00
  1126.0           6.4642E+00              6.4641E+00
  1127.0           6.4648E+00              6.4648E+00
  1128.0           6.4654E+00              6.4654E+00
  1129.0           6.4660E+00              6.4660E+00
  1130.0           6.4667E+00              6.4666E+00
  1131.0           6.4673E+00              6.4672E+00
  1132.0           6.4679E+00              6.4678E+00
  1133.0           6.4685E+00              6.4685E+00
  1134.0           6.4691E+00              6.4691E+00
  1135.0           6.4698E+00              6.4697E+00
  1136.0           6.4704E+00              6.4703E+00
  1137.0           6.4710E+00              6.4709E+00
  1138.0           6.4716E+00              6.4715E+00
  1139.0           6.4722E+00              6.4722E+00
  1140.0           6.4728E+00              6.4728E+00
  1141.0           6.4734E+00              6.4734E+00
  1142.0           6.4741E+00              6.4740E+00
  1143.0           6.4747E+00              6.4746E+00
  1144.0           6.4753E+00              6.4752E+00
  1145.0           6.4759E+00              6.4758E+00
  1146.0           6.4765E+00              6.4765E+00
  1147.0           6.4771E+00              6.4771E+00
  1148.0           6.4777E+00              6.4777E+00
  1149.0           6.4784E+00              6.4783E+00
  1150.0           6.4790E+00              6.4789E+00
  1151.0           6.4796E+00              6.4795E+00
  1152.0           6.4802E+00              6.4801E+00
  1153.0           6.4808E+00              6.4807E+00
  1154.0           6.4814E+00              6.4814E+00
  1155.0           6.4820E+00              6.4820E+00
  1156.0           6.4826E+00              6.4826E+00
  1157.0           6.4833E+00              6.4832E+00
  1158.0           6.4839E+00              6.4838E+00
  1159.0           6.4845E+00              6.4844E+00
  1160.0           6.4851E+00              6.4850E+00
  1161.0           6.4857E+00              6.4856E+00
  1162.0           6.4863E+00              6.4863E+00
  1163.0           6.4869E+00              6.4869E+00
  1164.0           6.4875E+00              6.4875E+00
  1165.0           6.4881E+00              6.4881E+00
  1166.0           6.4887E+00              6.4887E+00
  1167.0           6.4893E+00              6.4893E+00
  1168.0           6.4900E+00              6.4899E+00
  1169.0           6.4906E+00              6.4905E+00
  1170.0           6.4912E+00              6.4911E+00
  1171.0           6.4918E+00              6.4917E+00
  1172.0           6.4924E+00              6.4923E+00
  1173.0           6.4930E+00              6.4929E+00
  1174.0           6.4936E+00              6.4935E+00
  1175.0           6.4942E+00              6.4942E+00
  1176.0           6.4948E+00              6.4948E+00
  1177.0           6.4954E+00              6.4954E+00
  1178.0           6.4960E+00              6.4960E+00
  1179.0           6.4966E+00              6.4966E+00
  1180.0           6.4972E+00              6.4972E+00
  1181.0           6.4978E+00              6.4978E+00
  1182.0           6.4984E+00              6.4984E+00
  1183.0           6.4991E+00              6.4990E+00
  1184.0           6.4997E+00              6.4996E+00
  1185.0           6.5003E+00              6.5002E+00
  1186.0           6.5009E+00              6.5008E+00
  1187.0           6.5015E+00              6.5014E+00
  1188.0           6.5021E+00              6.5020E+00
  1189.0           6.5027E+00              6.5026E+00
  1190.0           6.5033E+00              6.5032E+00
  1191.0           6.5039E+00              6.5038E+00
  1192.0           6.5045E+00              6.5044E+00
  1193.0           6.5051E+00              6.5050E+00
  1194.0           6.5057E+00              6.5056E+00
  1195.0           6.5063E+00              6.5062E+00
  1196.0           6.5069E+00              6.5068E+00
  1197.0           6.5075E+00              6.5075E+00
  1198.0           6.5081E+00              6.5080E+00
  1199.0           6.5087E+00              6.5087E+00
  1200.0           6.5093E+00              6.5092E+00
  1201.0           6.5099E+00              6.5099E+00
  1202.0           6.5105E+00              6.5105E+00
  1203.0           6.5111E+00              6.5111E+00
  1204.0           6.5117E+00              6.5117E+00
  1205.0           6.5123E+00              6.5123E+00
  1206.0           6.5129E+00              6.5129E+00
  1207.0           6.5135E+00              6.5135E+00
  1208.0           6.5141E+00              6.5141E+00
  1209.0           6.5147E+00              6.5147E+00
  1210.0           6.5153E+00              6.5153E+00
  1211.0           6.5159E+00              6.5159E+00
  1212.0           6.5165E+00              6.5165E+00
  1213.0           6.5171E+00              6.5171E+00
  1214.0           6.5177E+00              6.5176E+00
  1215.0           6.5183E+00              6.5183E+00
  1216.0           6.5189E+00              6.5188E+00
  1217.0           6.5195E+00              6.5194E+00
  1218.0           6.5201E+00              6.5200E+00
  1219.0           6.5207E+00              6.5206E+00
  1220.0           6.5213E+00              6.5212E+00
  1221.0           6.5219E+00              6.5218E+00
  1222.0           6.5225E+00              6.5224E+00
  1223.0           6.5231E+00              6.5230E+00
  1224.0           6.5237E+00              6.5236E+00
  1225.0           6.5243E+00              6.5242E+00
  1226.0           6.5249E+00              6.5248E+00
  1227.0           6.5255E+00              6.5254E+00
  1228.0           6.5261E+00              6.5260E+00
  1229.0           6.5266E+00              6.5266E+00
  1230.0           6.5272E+00              6.5272E+00
  1231.0           6.5278E+00              6.5278E+00
  1232.0           6.5284E+00              6.5284E+00
  1233.0           6.5290E+00              6.5290E+00
  1234.0           6.5296E+00              6.5296E+00
  1235.0           6.5302E+00              6.5302E+00
  1236.0           6.5308E+00              6.5308E+00
  1237.0           6.5314E+00              6.5313E+00
  1238.0           6.5320E+00              6.5319E+00
  1239.0           6.5326E+00              6.5325E+00
  1240.0           6.5332E+00              6.5331E+00
  1241.0           6.5338E+00              6.5337E+00
  1242.0           6.5344E+00              6.5343E+00
  1243.0           6.5350E+00              6.5349E+00
  1244.0           6.5356E+00              6.5355E+00
  1245.0           6.5361E+00              6.5361E+00
  1246.0           6.5367E+00              6.5367E+00
  1247.0           6.5373E+00              6.5373E+00
  1248.0           6.5379E+00              6.5379E+00
  1249.0           6.5385E+00              6.5385E+00
  1250.0           6.5391E+00              6.5390E+00
  1251.0           6.5397E+00              6.5396E+00
  1252.0           6.5403E+00              6.5402E+00
  1253.0           6.5409E+00              6.5408E+00
  1254.0           6.5415E+00              6.5414E+00
  1255.0           6.5421E+00              6.5420E+00
  1256.0           6.5426E+00              6.5426E+00
  1257.0           6.5432E+00              6.5432E+00
  1258.0           6.5438E+00              6.5438E+00
  1259.0           6.5444E+00              6.5444E+00
  1260.0           6.5450E+00              6.5450E+00
  1261.0           6.5456E+00              6.5455E+00
  1262.0           6.5462E+00              6.5461E+00
  1263.0           6.5468E+00              6.5467E+00
  1264.0           6.5474E+00              6.5473E+00
  1265.0           6.5479E+00              6.5479E+00
  1266.0           6.5485E+00              6.5485E+00
  1267.0           6.5491E+00              6.5491E+00
  1268.0           6.5497E+00              6.5497E+00
  1269.0           6.5503E+00              6.5502E+00
  1270.0           6.5509E+00              6.5508E+00
  1271.0           6.5515E+00              6.5514E+00
  1272.0           6.5521E+00              6.5520E+00
  1273.0           6.5526E+00              6.5526E+00
  1274.0           6.5532E+00              6.5532E+00
  1275.0           6.5538E+00              6.5538E+00
  1276.0           6.5544E+00              6.5544E+00
  1277.0           6.5550E+00              6.5549E+00
  1278.0           6.5556E+00              6.5555E+00
  1279.0           6.5562E+00              6.5561E+00
  1280.0           6.5567E+00              6.5567E+00
  1281.0           6.5573E+00              6.5573E+00
  1282.0           6.5579E+00              6.5579E+00
  1283.0           6.5585E+00              6.5584E+00
  1284.0           6.5591E+00              6.5590E+00
  1285.0           6.5597E+00              6.5596E+00
  1286.0           6.5603E+00              6.5602E+00
  1287.0           6.5608E+00              6.5608E+00
  1288.0           6.5614E+00              6.5614E+00
  1289.0           6.5620E+00              6.5620E+00
  1290.0           6.5626E+00              6.5625E+00
  1291.0           6.5632E+00              6.5631E+00
  1292.0           6.5638E+00              6.5637E+00
  1293.0           6.5643E+00              6.5643E+00
  1294.0           6.5649E+00              6.5649E+00
  1295.0           6.5655E+00              6.5654E+00
