#ndep: 2897
#depth (km)    Vp_arithmetic (km/s)    Vp_geometric (km/s)
   145.0           7.9057E+00              7.9048E+00
   146.0           7.9084E+00              7.9075E+00
   147.0           7.9112E+00              7.9102E+00
   148.0           7.9140E+00              7.9130E+00
   149.0           7.9168E+00              7.9159E+00
   150.0           7.9197E+00              7.9188E+00
   151.0           7.9226E+00              7.9217E+00
   152.0           7.9256E+00              7.9247E+00
   153.0           7.9286E+00              7.9278E+00
   154.0           7.9317E+00              7.9308E+00
   155.0           7.9348E+00              7.9340E+00
   156.0           7.9380E+00              7.9371E+00
   157.0           7.9412E+00              7.9404E+00
   158.0           7.9445E+00              7.9436E+00
   159.0           7.9478E+00              7.9469E+00
   160.0           7.9511E+00              7.9503E+00
   161.0           7.9545E+00              7.9536E+00
   162.0           7.9579E+00              7.9571E+00
   163.0           7.9614E+00              7.9606E+00
   164.0           7.9649E+00              7.9641E+00
   165.0           7.9684E+00              7.9676E+00
   166.0           7.9720E+00              7.9712E+00
   167.0           7.9756E+00              7.9749E+00
   168.0           7.9793E+00              7.9785E+00
   169.0           7.9830E+00              7.9822E+00
   170.0           7.9867E+00              7.9860E+00
   171.0           7.9905E+00              7.9898E+00
   172.0           7.9943E+00              7.9936E+00
   173.0           7.9982E+00              7.9974E+00
   174.0           8.0021E+00              8.0013E+00
   175.0           8.0060E+00              8.0053E+00
   176.0           8.0100E+00              8.0092E+00
   177.0           8.0139E+00              8.0132E+00
   178.0           8.0180E+00              8.0173E+00
   179.0           8.0220E+00              8.0213E+00
   180.0           8.0261E+00              8.0255E+00
   181.0           8.0303E+00              8.0296E+00
   182.0           8.0344E+00              8.0338E+00
   183.0           8.0386E+00              8.0380E+00
   184.0           8.0428E+00              8.0422E+00
   185.0           8.0471E+00              8.0464E+00
   186.0           8.0514E+00              8.0507E+00
   187.0           8.0557E+00              8.0551E+00
   188.0           8.0600E+00              8.0594E+00
   189.0           8.0644E+00              8.0638E+00
   190.0           8.0688E+00              8.0682E+00
   191.0           8.0732E+00              8.0727E+00
   192.0           8.0777E+00              8.0771E+00
   193.0           8.0822E+00              8.0816E+00
   194.0           8.0867E+00              8.0861E+00
   195.0           8.0912E+00              8.0907E+00
   196.0           8.0958E+00              8.0953E+00
   197.0           8.1004E+00              8.0999E+00
   198.0           8.1050E+00              8.1045E+00
   199.0           8.1097E+00              8.1091E+00
   200.0           8.1143E+00              8.1138E+00
   201.0           8.1190E+00              8.1185E+00
   202.0           8.1237E+00              8.1232E+00
   203.0           8.1285E+00              8.1280E+00
   204.0           8.1332E+00              8.1327E+00
   205.0           8.1380E+00              8.1375E+00
   206.0           8.1428E+00              8.1423E+00
   207.0           8.1476E+00              8.1471E+00
   208.0           8.1525E+00              8.1520E+00
   209.0           8.1573E+00              8.1568E+00
   210.0           8.1622E+00              8.1617E+00
   211.0           8.1671E+00              8.1666E+00
   212.0           8.1720E+00              8.1716E+00
   213.0           8.1769E+00              8.1765E+00
   214.0           8.1819E+00              8.1814E+00
   215.0           8.1868E+00              8.1864E+00
   216.0           8.1918E+00              8.1914E+00
   217.0           8.1968E+00              8.1964E+00
   218.0           8.2018E+00              8.2014E+00
   219.0           8.2069E+00              8.2065E+00
   220.0           8.2119E+00              8.2115E+00
   221.0           8.2170E+00              8.2166E+00
   222.0           8.2220E+00              8.2217E+00
   223.0           8.2271E+00              8.2267E+00
   224.0           8.2322E+00              8.2318E+00
   225.0           8.2373E+00              8.2370E+00
   226.0           8.2424E+00              8.2421E+00
   227.0           8.2476E+00              8.2472E+00
   228.0           8.2527E+00              8.2524E+00
   229.0           8.2578E+00              8.2575E+00
   230.0           8.2630E+00              8.2627E+00
   231.0           8.2682E+00              8.2678E+00
   232.0           8.2734E+00              8.2730E+00
   233.0           8.2785E+00              8.2782E+00
   234.0           8.2837E+00              8.2834E+00
   235.0           8.2889E+00              8.2886E+00
   236.0           8.2941E+00              8.2938E+00
   237.0           8.2994E+00              8.2991E+00
   238.0           8.3046E+00              8.3043E+00
   239.0           8.3098E+00              8.3095E+00
   240.0           8.3150E+00              8.3147E+00
   241.0           8.3203E+00              8.3200E+00
   242.0           8.3255E+00              8.3252E+00
   243.0           8.3307E+00              8.3305E+00
   244.0           8.3360E+00              8.3357E+00
   245.0           8.3412E+00              8.3410E+00
   246.0           8.3465E+00              8.3462E+00
   247.0           8.3517E+00              8.3515E+00
   248.0           8.3570E+00              8.3567E+00
   249.0           8.3622E+00              8.3620E+00
   250.0           8.3675E+00              8.3672E+00
   251.0           8.3727E+00              8.3725E+00
   252.0           8.3780E+00              8.3777E+00
   253.0           8.3832E+00              8.3830E+00
   254.0           8.3885E+00              8.3882E+00
   255.0           8.3937E+00              8.3935E+00
   256.0           8.3989E+00              8.3987E+00
   257.0           8.4042E+00              8.4040E+00
   258.0           8.4094E+00              8.4092E+00
   259.0           8.4146E+00              8.4144E+00
   260.0           8.4198E+00              8.4197E+00
   261.0           8.4251E+00              8.4249E+00
   262.0           8.4303E+00              8.4301E+00
   263.0           8.4355E+00              8.4353E+00
   264.0           8.4407E+00              8.4405E+00
   265.0           8.4459E+00              8.4457E+00
   266.0           8.4511E+00              8.4509E+00
   267.0           8.4562E+00              8.4561E+00
   268.0           8.4614E+00              8.4612E+00
   269.0           8.4666E+00              8.4664E+00
   270.0           8.4717E+00              8.4716E+00
   271.0           8.4769E+00              8.4767E+00
   272.0           8.4820E+00              8.4818E+00
   273.0           8.4871E+00              8.4869E+00
   274.0           8.4922E+00              8.4920E+00
   275.0           8.4973E+00              8.4971E+00
   276.0           8.5024E+00              8.5022E+00
   277.0           8.5074E+00              8.5073E+00
   278.0           8.5125E+00              8.5124E+00
   279.0           8.5175E+00              8.5174E+00
   280.0           8.5226E+00              8.5224E+00
   281.0           8.5276E+00              8.5274E+00
   282.0           8.5326E+00              8.5324E+00
   283.0           8.5376E+00              8.5374E+00
   284.0           8.5425E+00              8.5424E+00
   285.0           8.5475E+00              8.5473E+00
   286.0           8.5524E+00              8.5523E+00
   287.0           8.5573E+00              8.5572E+00
   288.0           8.5622E+00              8.5621E+00
   289.0           8.5671E+00              8.5669E+00
   290.0           8.5719E+00              8.5718E+00
   291.0           8.5768E+00              8.5766E+00
   292.0           8.5816E+00              8.5815E+00
   293.0           8.5864E+00              8.5862E+00
   294.0           8.5912E+00              8.5910E+00
   295.0           8.5959E+00              8.5958E+00
   296.0           8.6006E+00              8.6005E+00
   297.0           8.6053E+00              8.6052E+00
   298.0           8.6100E+00              8.6099E+00
   299.0           8.6147E+00              8.6146E+00
   300.0           8.6193E+00              8.6192E+00
   301.0           8.6240E+00              8.6238E+00
   302.0           8.6285E+00              8.6284E+00
   303.0           8.6331E+00              8.6330E+00
   304.0           8.6376E+00              8.6375E+00
   305.0           8.6422E+00              8.6420E+00
   306.0           8.6466E+00              8.6465E+00
   307.0           8.6511E+00              8.6510E+00
   308.0           8.6555E+00              8.6554E+00
   309.0           8.6600E+00              8.6598E+00
   310.0           8.6643E+00              8.6642E+00
   311.0           8.6687E+00              8.6686E+00
   312.0           8.6730E+00              8.6729E+00
   313.0           8.6773E+00              8.6772E+00
   314.0           8.6816E+00              8.6815E+00
   315.0           8.6859E+00              8.6857E+00
   316.0           8.6901E+00              8.6900E+00
   317.0           8.6943E+00              8.6942E+00
   318.0           8.6984E+00              8.6983E+00
   319.0           8.7026E+00              8.7025E+00
   320.0           8.7067E+00              8.7066E+00
   321.0           8.7108E+00              8.7106E+00
   322.0           8.7148E+00              8.7147E+00
   323.0           8.7188E+00              8.7187E+00
   324.0           8.7228E+00              8.7227E+00
   325.0           8.7268E+00              8.7267E+00
   326.0           8.7307E+00              8.7306E+00
   327.0           8.7346E+00              8.7345E+00
   328.0           8.7385E+00              8.7384E+00
   329.0           8.7423E+00              8.7422E+00
   330.0           8.7461E+00              8.7460E+00
   331.0           8.7499E+00              8.7498E+00
   332.0           8.7536E+00              8.7535E+00
   333.0           8.7574E+00              8.7573E+00
   334.0           8.7610E+00              8.7609E+00
   335.0           8.7647E+00              8.7646E+00
   336.0           8.7683E+00              8.7682E+00
   337.0           8.7719E+00              8.7718E+00
   338.0           8.7754E+00              8.7753E+00
   339.0           8.7790E+00              8.7789E+00
   340.0           8.7824E+00              8.7823E+00
   341.0           8.7859E+00              8.7858E+00
   342.0           8.7893E+00              8.7892E+00
   343.0           8.7927E+00              8.7926E+00
   344.0           8.7960E+00              8.7959E+00
   345.0           8.7994E+00              8.7993E+00
   346.0           8.8026E+00              8.8025E+00
   347.0           8.8059E+00              8.8058E+00
   348.0           8.8091E+00              8.8090E+00
   349.0           8.8123E+00              8.8122E+00
   350.0           8.8154E+00              8.8153E+00
   351.0           8.8185E+00              8.8184E+00
   352.0           8.8216E+00              8.8215E+00
   353.0           8.8246E+00              8.8245E+00
   354.0           8.8276E+00              8.8275E+00
   355.0           8.8305E+00              8.8304E+00
   356.0           8.8335E+00              8.8334E+00
   357.0           8.8363E+00              8.8363E+00
   358.0           8.8392E+00              8.8391E+00
   359.0           8.8420E+00              8.8419E+00
   360.0           8.8448E+00              8.8447E+00
   361.0           8.8475E+00              8.8474E+00
   362.0           8.8502E+00              8.8501E+00
   363.0           8.8528E+00              8.8527E+00
   364.0           8.8555E+00              8.8554E+00
   365.0           8.8580E+00              8.8579E+00
   366.0           8.8606E+00              8.8605E+00
   367.0           8.8631E+00              8.8630E+00
   368.0           8.8655E+00              8.8654E+00
   369.0           8.8679E+00              8.8678E+00
   370.0           8.8703E+00              8.8702E+00
   371.0           8.8727E+00              8.8726E+00
   372.0           8.8749E+00              8.8749E+00
   373.0           8.8772E+00              8.8771E+00
   374.0           8.8794E+00              8.8793E+00
   375.0           8.8816E+00              8.8815E+00
   376.0           8.8837E+00              8.8836E+00
   377.0           8.8858E+00              8.8857E+00
   378.0           8.8878E+00              8.8878E+00
   379.0           8.8898E+00              8.8898E+00
   380.0           8.8918E+00              8.8917E+00
   381.0           8.8937E+00              8.8936E+00
   382.0           8.8956E+00              8.8955E+00
   383.0           8.8974E+00              8.8973E+00
   384.0           8.8992E+00              8.8991E+00
   385.0           8.9010E+00              8.9009E+00
   386.0           8.9027E+00              8.9026E+00
   387.0           8.9043E+00              8.9042E+00
   388.0           8.9059E+00              8.9058E+00
   389.0           8.9075E+00              8.9074E+00
   390.0           8.9090E+00              8.9089E+00
   391.0           8.9105E+00              8.9104E+00
   392.0           8.9119E+00              8.9118E+00
   393.0           8.9133E+00              8.9132E+00
   394.0           8.9146E+00              8.9146E+00
   395.0           8.9159E+00              8.9159E+00
   396.0           8.9172E+00              8.9171E+00
   397.0           8.9184E+00              8.9183E+00
   398.0           8.9195E+00              8.9195E+00
   399.0           8.9207E+00              8.9206E+00
   400.0           8.9217E+00              8.9216E+00
   401.0           8.9227E+00              8.9226E+00
   402.0           8.9237E+00              8.9236E+00
   403.0           8.9246E+00              8.9245E+00
   404.0           8.9255E+00              8.9254E+00
   405.0           8.9263E+00              8.9262E+00
