#ndep: 2897
#depth (km)    Vs_arithmetic (km/s)    Vs_geometric (km/s)
   145.0           4.4414E+00              4.4397E+00
   146.0           4.4419E+00              4.4402E+00
   147.0           4.4424E+00              4.4407E+00
   148.0           4.4430E+00              4.4413E+00
   149.0           4.4435E+00              4.4418E+00
   150.0           4.4441E+00              4.4424E+00
   151.0           4.4447E+00              4.4430E+00
   152.0           4.4453E+00              4.4436E+00
   153.0           4.4459E+00              4.4442E+00
   154.0           4.4465E+00              4.4448E+00
   155.0           4.4471E+00              4.4455E+00
   156.0           4.4478E+00              4.4461E+00
   157.0           4.4485E+00              4.4468E+00
   158.0           4.4491E+00              4.4475E+00
   159.0           4.4498E+00              4.4482E+00
   160.0           4.4505E+00              4.4489E+00
   161.0           4.4513E+00              4.4497E+00
   162.0           4.4520E+00              4.4504E+00
   163.0           4.4527E+00              4.4512E+00
   164.0           4.4535E+00              4.4519E+00
   165.0           4.4543E+00              4.4527E+00
   166.0           4.4551E+00              4.4535E+00
   167.0           4.4559E+00              4.4544E+00
   168.0           4.4567E+00              4.4552E+00
   169.0           4.4575E+00              4.4560E+00
   170.0           4.4584E+00              4.4569E+00
   171.0           4.4592E+00              4.4578E+00
   172.0           4.4601E+00              4.4586E+00
   173.0           4.4610E+00              4.4595E+00
   174.0           4.4619E+00              4.4604E+00
   175.0           4.4628E+00              4.4614E+00
   176.0           4.4637E+00              4.4623E+00
   177.0           4.4646E+00              4.4633E+00
   178.0           4.4656E+00              4.4642E+00
   179.0           4.4665E+00              4.4652E+00
   180.0           4.4675E+00              4.4662E+00
   181.0           4.4685E+00              4.4672E+00
   182.0           4.4695E+00              4.4682E+00
   183.0           4.4705E+00              4.4692E+00
   184.0           4.4715E+00              4.4703E+00
   185.0           4.4725E+00              4.4713E+00
   186.0           4.4736E+00              4.4724E+00
   187.0           4.4747E+00              4.4735E+00
   188.0           4.4757E+00              4.4746E+00
   189.0           4.4768E+00              4.4757E+00
   190.0           4.4779E+00              4.4768E+00
   191.0           4.4790E+00              4.4779E+00
   192.0           4.4802E+00              4.4791E+00
   193.0           4.4813E+00              4.4803E+00
   194.0           4.4825E+00              4.4814E+00
   195.0           4.4836E+00              4.4826E+00
   196.0           4.4848E+00              4.4838E+00
   197.0           4.4860E+00              4.4850E+00
   198.0           4.4872E+00              4.4862E+00
   199.0           4.4884E+00              4.4874E+00
   200.0           4.4896E+00              4.4887E+00
   201.0           4.4909E+00              4.4899E+00
   202.0           4.4921E+00              4.4912E+00
   203.0           4.4934E+00              4.4925E+00
   204.0           4.4946E+00              4.4938E+00
   205.0           4.4959E+00              4.4951E+00
   206.0           4.4972E+00              4.4964E+00
   207.0           4.4985E+00              4.4977E+00
   208.0           4.4998E+00              4.4990E+00
   209.0           4.5012E+00              4.5004E+00
   210.0           4.5025E+00              4.5017E+00
   211.0           4.5038E+00              4.5031E+00
   212.0           4.5052E+00              4.5044E+00
   213.0           4.5066E+00              4.5058E+00
   214.0           4.5079E+00              4.5072E+00
   215.0           4.5093E+00              4.5086E+00
   216.0           4.5107E+00              4.5100E+00
   217.0           4.5121E+00              4.5114E+00
   218.0           4.5135E+00              4.5128E+00
   219.0           4.5149E+00              4.5143E+00
   220.0           4.5163E+00              4.5157E+00
   221.0           4.5179E+00              4.5173E+00
   222.0           4.5193E+00              4.5187E+00
   223.0           4.5208E+00              4.5202E+00
   224.0           4.5223E+00              4.5217E+00
   225.0           4.5238E+00              4.5232E+00
   226.0           4.5252E+00              4.5247E+00
   227.0           4.5267E+00              4.5262E+00
   228.0           4.5283E+00              4.5277E+00
   229.0           4.5298E+00              4.5292E+00
   230.0           4.5313E+00              4.5308E+00
   231.0           4.5328E+00              4.5323E+00
   232.0           4.5344E+00              4.5339E+00
   233.0           4.5359E+00              4.5354E+00
   234.0           4.5375E+00              4.5370E+00
   235.0           4.5391E+00              4.5386E+00
