#ndep: 2897
#depth (km)   Rho_arithmetic (g/cm^3)   Rho_geometric (g/cm^3)
   144.0           3.3725E+00              3.3725E+00
   145.0           3.3735E+00              3.3735E+00
   146.0           3.3745E+00              3.3745E+00
   147.0           3.3754E+00              3.3754E+00
   148.0           3.3764E+00              3.3764E+00
   149.0           3.3773E+00              3.3773E+00
   150.0           3.3783E+00              3.3783E+00
   151.0           3.3792E+00              3.3792E+00
   152.0           3.3802E+00              3.3802E+00
   153.0           3.3811E+00              3.3811E+00
   154.0           3.3821E+00              3.3821E+00
   155.0           3.3830E+00              3.3830E+00
   156.0           3.3840E+00              3.3840E+00
   157.0           3.3849E+00              3.3849E+00
   158.0           3.3859E+00              3.3859E+00
   159.0           3.3868E+00              3.3868E+00
   160.0           3.3878E+00              3.3878E+00
   161.0           3.3887E+00              3.3887E+00
   162.0           3.3896E+00              3.3896E+00
   163.0           3.3906E+00              3.3906E+00
   164.0           3.3915E+00              3.3915E+00
   165.0           3.3924E+00              3.3924E+00
   166.0           3.3934E+00              3.3934E+00
   167.0           3.3943E+00              3.3943E+00
   168.0           3.3952E+00              3.3952E+00
   169.0           3.3961E+00              3.3961E+00
   170.0           3.3970E+00              3.3970E+00
   171.0           3.3980E+00              3.3980E+00
   172.0           3.3989E+00              3.3989E+00
   173.0           3.3998E+00              3.3998E+00
   174.0           3.4007E+00              3.4007E+00
   175.0           3.4016E+00              3.4016E+00
   176.0           3.4025E+00              3.4025E+00
   177.0           3.4033E+00              3.4033E+00
   178.0           3.4042E+00              3.4042E+00
   179.0           3.4051E+00              3.4051E+00
   180.0           3.4060E+00              3.4060E+00
   181.0           3.4069E+00              3.4069E+00
   182.0           3.4077E+00              3.4077E+00
   183.0           3.4086E+00              3.4086E+00
   184.0           3.4094E+00              3.4094E+00
   185.0           3.4103E+00              3.4103E+00
   186.0           3.4111E+00              3.4111E+00
   187.0           3.4120E+00              3.4120E+00
   188.0           3.4128E+00              3.4128E+00
   189.0           3.4137E+00              3.4137E+00
   190.0           3.4145E+00              3.4145E+00
   191.0           3.4153E+00              3.4153E+00
   192.0           3.4161E+00              3.4161E+00
   193.0           3.4169E+00              3.4169E+00
   194.0           3.4178E+00              3.4178E+00
   195.0           3.4186E+00              3.4186E+00
   196.0           3.4194E+00              3.4194E+00
   197.0           3.4202E+00              3.4202E+00
   198.0           3.4210E+00              3.4210E+00
   199.0           3.4217E+00              3.4217E+00
   200.0           3.4225E+00              3.4225E+00
   201.0           3.4233E+00              3.4233E+00
   202.0           3.4241E+00              3.4241E+00
   203.0           3.4249E+00              3.4249E+00
   204.0           3.4256E+00              3.4256E+00
   205.0           3.4264E+00              3.4264E+00
   206.0           3.4271E+00              3.4271E+00
   207.0           3.4279E+00              3.4279E+00
   208.0           3.4287E+00              3.4287E+00
